order_id,delivery_delay_days,late_status,customer_state,review_score,review_creation_date
e481f51cbdc54678b7cc49136f2d6af7,-8.0,False,SP,4,2017-10-11 00:00:00
949d5b44dbf5de918fe9c16f97b45f8a,-13.0,False,RN,5,2017-12-03 00:00:00
ad21c59c0840e6cb83a9ceb5573f8159,-10.0,False,SP,5,2018-02-17 00:00:00
a4591c265e18cb1dcee52889e2d8acc3,-6.0,False,PR,4,2017-07-27 00:00:00
e69bfb5eb88e0ed6a785585b27e16dbf,-7.0,False,SP,5,2017-08-17 00:00:00
34513ce0c4fab462a55830c0989c7edb,-20.0,False,SP,4,2017-07-20 00:00:00
432aaf21d85167c2c86ec9448c4e42cc,-9.0,False,SP,4,2018-03-13 00:00:00
116f0b09343b49556bbad5f35bee0cdf,-21.0,False,SC,5,2018-01-09 00:00:00
85ce859fd6dc634de8d2f1e290444043,-14.0,False,SP,5,2017-11-28 00:00:00
83018ec114eee8641c97e08f7b4e926f,-15.0,False,BA,4,2017-11-09 00:00:00
203096f03d82e0dffbc41ebc2e2bcfb7,11.0,True,SP,2,2017-10-01 00:00:00
f848643eec1d69395095eb3840d2051e,-10.0,False,SP,5,2018-03-20 00:00:00
2807d0e504d6d4894d41672727bc139f,-13.0,False,SP,3,2018-02-09 00:00:00
95266dbfb7e20354baba07964dac78d5,-26.0,False,SC,4,2018-01-27 00:00:00
fbf9ac61453ac646ce8ad9783d7d0af6,9.0,True,RJ,2,2018-03-16 00:00:00
dd78f560c270f1909639c11b925620ea,-7.0,False,SP,5,2018-03-22 00:00:00
ecab90c9933c58908d3d6add7c6f5ae3,-17.0,False,RR,4,2018-03-28 00:00:00
f70a0aff17df5a6cdd9a7196128bd354,-5.0,False,SP,2,2017-08-19 00:00:00
989225ba6d0ebd5873335f7e01de2ae7,-5.0,False,SP,4,2018-01-04 00:00:00
d887b52c6516beb39e8cd44a5f8b60f7,-13.0,False,RJ,5,2018-02-23 00:00:00
8563039e855156e48fccee4d611a3196,0.0,False,TO,5,2018-03-20 00:00:00
60550084e6b4c0cb89a87df1f3e5ebd9,-16.0,False,CE,4,2018-03-14 00:00:00
5acce57f8d9dfd55fa48e212a641a69d,-14.0,False,SP,5,2017-08-09 00:00:00
6ea2f835b4556291ffdc53fa0b3b95e8,7.0,True,SP,1,2017-12-22 00:00:00
948097deef559c742e7ce321e5e58919,-20.0,False,DF,5,2017-08-13 00:00:00
2ce1ad82022c1ba30c2079502ac725aa,-15.0,False,SP,5,2017-08-17 00:00:00
138849fd84dff2fb4ca70a0a34c4aa1c,-9.0,False,SP,5,2018-02-15 00:00:00
641fb0752bf5b5940c376b3a8bb9dc52,-13.0,False,RJ,4,2018-01-04 00:00:00
e425680f760cbc130be3e53a9773c584,-16.0,False,SP,5,2017-09-05 00:00:00
68873cf91053cd11e6b49a766db5af1a,-13.0,False,SP,4,2017-12-15 00:00:00
8f06cc6465925031568537b815f1198d,-13.0,False,RJ,5,2017-11-28 00:00:00
ccbabeb0b02433bd0fcbac46e70339f2,-4.0,False,MG,4,2018-03-10 00:00:00
f271576bed568e896f99eb710cd3a6f8,-28.0,False,BA,3,2018-01-18 00:00:00
686541986ecfb7d9296eb67719973bf0,-20.0,False,MG,4,2018-02-21 00:00:00
a6aeb116d2cb5013eb8a94585b71ffef,-9.0,False,SP,5,2017-09-17 00:00:00
6abaad69b8b349c3a529b4b91ce18e46,-11.0,False,SP,4,2018-02-25 00:00:00
a910f58086d58b3ae6f37aa712d377b9,-16.0,False,MT,5,2017-09-26 00:00:00
634e8f4c0f6744a626f77f39770ac6aa,-15.0,False,RS,1,2017-08-17 00:00:00
b8801cccd8068de30112e4f49903d74a,-15.0,False,SP,3,2017-08-02 00:00:00
2711a938db643b3f0b62ee2c8a2784aa,-10.0,False,DF,5,2018-01-10 00:00:00
e4de6d53ecff736bc68804b0b6e9f635,-13.0,False,BA,2,2017-11-09 00:00:00
6b860b35691d486e45dc98e3514ec5f6,-15.0,False,SP,5,2017-12-20 00:00:00
ec341c54a5ebf8ee0a67a8632aa7579b,-13.0,False,SC,5,2017-09-09 00:00:00
cadbb3657dac2dbbd5b84b12e7b78aad,-13.0,False,SP,4,2018-03-17 00:00:00
20e0101b20700188cadb288126949685,-4.0,False,MG,5,2018-02-16 00:00:00
d3d6788577c9592da441752e8a1dd5e3,-3.0,False,PR,5,2017-10-11 00:00:00
8447ff843b2616c50c0ced28ab1dae03,-13.0,False,SC,4,2018-01-10 00:00:00
6a0a8bfbbe700284feb0845d95e0867f,17.0,True,RJ,1,2017-12-13 00:00:00
bb7c5cf4dff9994daeab7c8ee9d287aa,-17.0,False,RS,4,2018-03-10 00:00:00
66d03fb3c4b0f80b5db04ef9c260336d,-19.0,False,SP,4,2018-02-17 00:00:00
bfe42c22ecbf90bc9f35cf591270b6a7,-17.0,False,MG,5,2018-02-10 00:00:00
e1da8361c76cab67aa3588a1fbf1af54,-13.0,False,MG,2,2017-07-13 00:00:00
af5b0604e113e1526593d505a26ef39d,-16.0,False,SP,1,2017-10-01 00:00:00
9d531c565e28c3e0d756192f84d8731f,32.0,True,RJ,1,2017-12-29 00:00:00
